21300,Treatment of skull fracture
21310,Treatment of nose fracture
21315,Treatment of nose fracture
21320,Treatment of nose fracture
21325,Treatment of nose fracture
21330,Treatment of nose fracture
21335,Treatment of nose fracture
21336,Treat nasal septal fracture
21337,Treat nasal septal fracture
21338,Treat nasoethmoid fracture
21339,Treat nasoethmoid fracture
21340,Treatment of nose fracture
21343,Treatment of sinus fracture
21344,Treatment of sinus fracture
21345,Treat nose/jaw fracture
21346,Treat nose/jaw fracture
21347,Treat nose/jaw fracture
21348,Treat nose/jaw fracture
21355,Treat cheek bone fracture
21356,Treat cheek bone fracture
21360,Treat cheek bone fracture
21365,Treat cheek bone fracture
21366,Treat cheek bone fracture
21385,Treat eye socket fracture
21386,Treat eye socket fracture
21387,Treat eye socket fracture
21390,Treat eye socket fracture
21395,Treat eye socket fracture
21400,Treat eye socket fracture
21401,Treat eye socket fracture
21406,Treat eye socket fracture
21407,Treat eye socket fracture
21408,Treat eye socket fracture
21421,Treat mouth roof fracture
21422,Treat mouth roof fracture
21423,Treat mouth roof fracture
21431,Treat craniofacial fracture
21432,Treat craniofacial fracture
21433,Treat craniofacial fracture
21435,Treat craniofacial fracture
21436,Treat craniofacial fracture
21440,Treat dental ridge fracture
21445,Treat dental ridge fracture
21450,Treat lower jaw fracture
21451,Treat lower jaw fracture
21452,Treat lower jaw fracture
21453,Treat lower jaw fracture
21454,Treat lower jaw fracture
21461,Treat lower jaw fracture
21462,Treat lower jaw fracture
21465,Treat lower jaw fracture
21470,Treat lower jaw fracture
21480,Reset dislocated jaw
21485,Reset dislocated jaw
21490,Repair dislocated jaw
21493,Treat hyoid bone fracture
21494,Treat hyoid bone fracture
21495,Treat hyoid bone fracture
21497,Interdental wiring
21499,Head surgery procedure
21501,Drain neck/chest lesion
21502,Drain chest lesion
21510,Drainage of bone lesion
21550,Biopsy of neck/chest
21555,Remove lesion neck/chest
21556,Remove lesion neck/chest
21557,Remove tumor neck/chest
21600,Partial removal of rib
21610,Partial removal of rib
21615,Removal of rib
21616,Removal of rib and nerves
21620,Partial removal of sternum
21627,Sternal debridement
21630,Extensive sternum surgery
21632,Extensive sternum surgery
21685,Hyoid myotomy & suspension
21700,Revision of neck muscle
21705,Revision of neck muscle/rib
21720,Revision of neck muscle
21725,Revision of neck muscle
21740,Reconstruction of sternum
21742,Repair stern/nuss w/o scope
21743,Repair sternum/nuss w/scope
21750,Repair of sternum separation
21800,Treatment of rib fracture
21805,Treatment of rib fracture
21810,Treatment of rib fracture(s)
21820,Treat sternum fracture
21825,Treat sternum fracture
21899,Neck/chest surgery procedure
21920,Biopsy soft tissue of back
21925,Biopsy soft tissue of back
21930,Remove lesion back or flank
21935,Remove tumor back
22100,Remove part of neck vertebra
22101,Remove part thorax vertebra
22102,Remove part lumbar vertebra
22103,Remove extra spine segment
22110,Remove part of neck vertebra
22112,Remove part thorax vertebra
22114,Remove part lumbar vertebra
22116,Remove extra spine segment
22210,Revision of neck spine
22212,Revision of thorax spine
22214,Revision of lumbar spine
22216,Revise extra spine segment
22220,Revision of neck spine
22222,Revision of thorax spine
22224,Revision of lumbar spine
22226,Revise extra spine segment
22305,Treat spine process fracture
22310,Treat spine fracture
22315,Treat spine fracture
22318,Treat odontoid fx w/o graft
22319,Treat odontoid fx w/graft
22325,Treat spine fracture
22326,Treat neck spine fracture
22327,Treat thorax spine fracture
22328,Treat each add spine fx
22505,Manipulation of spine
22520,Percut vertebroplasty thor
22521,Percut vertebroplasty lumb
22522,Percut vertebroplasty add?l
22532,Lat thorax spine fusion
22533,Lat lumbar spine fusion
22534,Lat thor/lumb add?l seg
22548,Neck spine fusion
22554,Neck spine fusion
22556,Thorax spine fusion
22558,Lumbar spine fusion
22585,Additional spinal fusion
22590,Spine & skull spinal fusion
22595,Neck spinal fusion
22600,Neck spine fusion
22610,Thorax spine fusion
22612,Lumbar spine fusion
22614,Spine fusion extra segment
22630,Lumbar spine fusion
22632,Spine fusion extra segment
22800,Fusion of spine
22802,Fusion of spine
22804,Fusion of spine
22808,Fusion of spine
22810,Fusion of spine
22812,Fusion of spine
22818,Kyphectomy 1-2 segments
22819,Kyphectomy 3 or more
22830,Exploration of spinal fusion
22840,Insert spine fixation device
22841,Insert spine fixation device
22842,Insert spine fixation device
22843,Insert spine fixation device
22844,Insert spine fixation device
22845,Insert spine fixation device
22846,Insert spine fixation device
22847,Insert spine fixation device
22848,Insert pelv fixation device
22849,Reinsert spinal fixation
22850,Remove spine fixation device
22851,Apply spine prosth device
22852,Remove spine fixation device
22855,Remove spine fixation device
22899,Spine surgery procedure
22900,Remove abdominal wall lesion
22999,Abdomen surgery procedure
23000,Removal of calcium deposits
23020,Release shoulder joint
23030,Drain shoulder lesion
23031,Drain shoulder bursa
23035,Drain shoulder bone lesion
23040,Exploratory shoulder surgery
23044,Exploratory shoulder surgery
23065,Biopsy shoulder tissues
23066,Biopsy shoulder tissues
23075,Removal of shoulder lesion
23076,Removal of shoulder lesion
23077,Remove tumor of shoulder
23100,Biopsy of shoulder joint
23101,Shoulder joint surgery
23105,Remove shoulder joint lining
23106,Incision of collarbone joint
23107,Explore treat shoulder joint
23120,Partial removal collar bone
23125,Removal of collar bone
23130,Remove shoulder bone part
23140,Removal of bone lesion
23145,Removal of bone lesion
23146,Removal of bone lesion
23150,Removal of humerus lesion
23155,Removal of humerus lesion
23156,Removal of humerus lesion
23170,Remove collar bone lesion
23172,Remove shoulder blade lesion
23174,Remove humerus lesion
23180,Remove collar bone lesion
23182,Remove shoulder blade lesion
23184,Remove humerus lesion
23190,Partial removal of scapula
23195,Removal of head of humerus
23200,Removal of collar bone
23210,Removal of shoulder blade
23220,Partial removal of humerus
23221,Partial removal of humerus
23222,Partial removal of humerus
